player_id,player_name,position_group,race,race_source,confidence,notes
00-0020305,A.J. Feeley,QB,White,https://en.wikipedia.org/wiki/A._J._Feeley,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0031288,A.J. McCarron,QB,White,https://en.wikipedia.org/wiki/A._J._McCarron,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0001823,Aaron Brooks,QB,Black,https://en.wikipedia.org/wiki/Aaron_Brooks_(American_football),Medium,Wikipedia metadata matched Black/African-American language.
00-0031287,Aaron Murray,QB,White,https://en.wikipedia.org/wiki/Aaron_Murray,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0023459,Aaron Rodgers,QB,White,https://en.wikipedia.org/wiki/Aaron_Rodgers,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0038658,Adrian Martinez,QB,Latino,https://en.wikipedia.org/wiki/Adrian_Martinez_(American_football),Medium,Wikipedia metadata matched Latino/Hispanic language.
00-0023585,Adrian McPherson,QB,White,https://en.wikipedia.org/wiki/Adrian_McPherson,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0038579,Aidan O'Connell,QB,White,https://en.wikipedia.org/wiki/Aidan_O%27Connell,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0015082,Akili Smith,QB,Black,https://en.wikipedia.org/wiki/Akili_Smith,Medium,Wikipedia metadata matched Black/African-American language.
00-0033238,Alek Torgersen,QB,White,https://en.wikipedia.org/wiki/Alek_Torgersen,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0034732,Alex McGough,QB,White,https://en.wikipedia.org/wiki/Alex_McGough,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0023436,Alex Smith,QB,White,https://en.wikipedia.org/wiki/Alex_Smith,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0029623,Alex Tanney,QB,White,https://en.wikipedia.org/wiki/Alex_Tanney,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0016838,Alex Van Pelt,QB,White,https://en.wikipedia.org/wiki/Alex_Van_Pelt,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0029668,Andrew Luck,QB,White,https://en.wikipedia.org/wiki/Andrew_Luck,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0039334,Andrew Peasley,QB,White,https://en.wikipedia.org/wiki/Andrew_Peasley,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0023504,Andrew Walter,QB,White,https://en.wikipedia.org/wiki/Andrew_Walter,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0027973,Andy Dalton,QB,White,https://en.wikipedia.org/wiki/Andy_Dalton,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0022761,Andy Hall,QB,White,https://en.wikipedia.org/wiki/Andy_Hall_(American_football),Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0037175,Anthony Brown,QB,Black,https://en.wikipedia.org/wiki/Anthony_Brown_(offensive_lineman),Medium,Wikipedia metadata matched Black/African-American language.
00-0035988,Anthony Gordon,QB,White,https://en.wikipedia.org/wiki/Anthony_Gordon_(American_football),Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0039164,Anthony Richardson,QB,White,https://en.wikipedia.org/wiki/Anthony_Richardson_(American_football),Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0018272,Anthony Wright,QB,White,https://en.wikipedia.org/wiki/Anthony_Wright_(American_football),Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0034608,Austin Allen,QB,White,https://en.wikipedia.org/wiki/Austin_Allen,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0028957,Austin Davis,QB,White,https://en.wikipedia.org/wiki/Austin_Davis_(American_football),Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0039464,Austin Reed,QB,White,https://en.wikipedia.org/wiki/Austin_Reed_(American_football),Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0030120,B.J. Daniels,QB,Black,https://en.wikipedia.org/wiki/B._J._Daniels_(American_football),Medium,Wikipedia metadata matched Black/African-American language.
00-0038108,Bailey Zappe,QB,White,https://en.wikipedia.org/wiki/Bailey_Zappe,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0034855,Baker Mayfield,QB,White,https://en.wikipedia.org/wiki/Baker_Mayfield,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0033866,Bart Houston,QB,White,https://en.wikipedia.org/wiki/Bart_Houston,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0036384,Ben DiNucci,QB,White,https://en.wikipedia.org/wiki/Ben_DiNucci,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0022924,Ben Roethlisberger,QB,White,https://en.wikipedia.org/wiki/Ben_Roethlisberger,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0007530,Billy Joe Hobert,QB,White,https://en.wikipedia.org/wiki/Billy_Joe_Hobert,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0016534,Billy Joe Tolliver,QB,White,https://en.wikipedia.org/wiki/Billy_Joe_Tolliver,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0019041,Billy Volek,QB,White,https://en.wikipedia.org/wiki/Billy_Volek,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0027948,Blaine Gabbert,QB,White,https://en.wikipedia.org/wiki/Blaine_Gabbert,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0031407,Blake Bortles,QB,White,https://en.wikipedia.org/wiki/Blake_Bortles,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0039732,Bo Nix,QB,White,https://en.wikipedia.org/wiki/Bo_Nix,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0007832,Bobby Hoying,QB,White,https://en.wikipedia.org/wiki/Bobby_Hoying,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0008442,Brad Johnson,QB,White,https://en.wikipedia.org/wiki/Brad_Johnson_(American_football),Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0033585,Brad Kaaya,QB,White,https://en.wikipedia.org/wiki/Brad_Kaaya,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0030292,Brad Sorensen,QB,White,https://en.wikipedia.org/wiki/Brad_Sorensen,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0022774,Bradlee Van Pelt,QB,White,https://en.wikipedia.org/wiki/Bradlee_Van_Pelt,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0025409,Brady Quinn,QB,White,https://en.wikipedia.org/wiki/Brady_Quinn,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0032434,Brandon Allen,QB,White,https://en.wikipedia.org/wiki/Brandon_Allen_(American_football),Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0021276,Brandon Doman,QB,White,https://en.wikipedia.org/wiki/Brandon_Doman,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0032446,Brandon Doughty,QB,White,https://en.wikipedia.org/wiki/Brandon_Doughty,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0037472,Brandon Peters,QB,White,https://en.wikipedia.org/wiki/Brandon_Peters,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0029677,Brandon Weeden,QB,White,https://en.wikipedia.org/wiki/Brandon_Weeden,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0038365,Braxton Burmeister,QB,White,https://en.wikipedia.org/wiki/Braxton_Burmeister,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0023859,Brett Basanez,QB,White,https://en.wikipedia.org/wiki/Brett_Basanez,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0005106,Brett Favre,QB,White,https://en.wikipedia.org/wiki/Brett_Favre,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0031589,Brett Hundley,QB,Black,https://en.wikipedia.org/wiki/Brett_Hundley,Medium,Wikipedia metadata matched Black/African-American language.
00-0025694,Brett Ratliff,QB,White,https://en.wikipedia.org/wiki/Brett_Ratliff,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0034955,Brett Rypien,QB,White,https://en.wikipedia.org/wiki/Brett_Rypien,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0026196,Brian Brohm,QB,White,https://en.wikipedia.org/wiki/Brian_Brohm,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0006423,Brian Griese,QB,White,https://en.wikipedia.org/wiki/Brian_Griese,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0026625,Brian Hoyer,QB,White,https://en.wikipedia.org/wiki/Brian_Hoyer,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0036092,Brian Lewerke,QB,White,https://en.wikipedia.org/wiki/Brian_Lewerke,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0022101,Brian St. Pierre,QB,White,https://en.wikipedia.org/wiki/Brian_St._Pierre,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0023158,Brock Berlin,QB,White,https://en.wikipedia.org/wiki/Brock_Berlin,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0007834,Brock Huard,QB,White,https://en.wikipedia.org/wiki/Brock_Huard,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0029682,Brock Osweiler,QB,White,https://en.wikipedia.org/wiki/Brock_Osweiler,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0037834,Brock Purdy,QB,White,https://en.wikipedia.org/wiki/Brock_Purdy,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0024300,Brodie Croyle,QB,White,https://en.wikipedia.org/wiki/Brodie_Croyle,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0034697,Brogan Roback,QB,White,https://en.wikipedia.org/wiki/Brogan_Roback,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0022026,Brooks Bollinger,QB,White,https://en.wikipedia.org/wiki/Brooks_Bollinger,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0024408,Bruce Gradkowski,QB,White,https://en.wikipedia.org/wiki/Bruce_Gradkowski,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0035939,Bryce Perkins,QB,Black,https://en.wikipedia.org/wiki/Bryce_Perkins,Medium,Wikipedia metadata matched Black/African-American language.
00-0031568,Bryce Petty,QB,White,https://en.wikipedia.org/wiki/Bryce_Petty,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0039150,Bryce Young,QB,Black,https://en.wikipedia.org/wiki/Bryce_Young,Medium,Wikipedia metadata matched Black/African-American language.
00-0030673,Bryn Renner,QB,White,https://en.wikipedia.org/wiki/Bryn_Renner,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0001785,Bubby Brister,QB,White,https://en.wikipedia.org/wiki/Bubby_Brister,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0022177,Byron Leftwich,QB,Black,https://en.wikipedia.org/wiki/Byron_Leftwich,Medium,Wikipedia metadata matched Black/African-American language.
00-0033936,C.J. Beathard,QB,White,https://en.wikipedia.org/wiki/C._J._Beathard,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0039163,C.J. Stroud,QB,Black,https://en.wikipedia.org/wiki/C._J._Stroud,Medium,Wikipedia metadata matched Black/African-American language.
00-0011044,Cade McNown,QB,White,https://en.wikipedia.org/wiki/Cade_McNown,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0025970,Caleb Hanie,QB,White,https://en.wikipedia.org/wiki/Caleb_Hanie,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
