player_id,player_name,position_group,race,race_source,confidence,notes
00-0036265,A.J. Dillon,RB,White,https://en.wikipedia.org/wiki/A._J._Dillon,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0035583,A.J. Ouellette,RB,White,https://en.wikipedia.org/wiki/A._J._Ouellette,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0036819,A.J. Rose,RB,White,https://en.wikipedia.org/wiki/AJ_Barner,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0027129,Aaron Brown,RB,White,https://en.wikipedia.org/wiki/Aaron_Anderson_(American_football),Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0039191,Aaron Dykes,RB,White,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0032672,Aaron Green,RB,Black,https://en.wikipedia.org/wiki/Aaron_Green_(American_football),Medium,Wikipedia metadata matched Black/African-American language.
00-0033293,Aaron Jones,RB,White,https://en.wikipedia.org/wiki/Aaron_Jones,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0031612,Aaron Ripkowski,RB,White,https://en.wikipedia.org/wiki/Aaron_Ripkowski,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0037609,Aaron Shampklin,RB,White,https://en.wikipedia.org/wiki/Aaron_Shampklin,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0019564,Aaron Shea,RB,White,https://en.wikipedia.org/wiki/Aaron_Shea,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0015601,Aaron Stecker,RB,White,https://en.wikipedia.org/wiki/Aaron_Stecker,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0000003,Abdul-Karim al-Jabbar,RB,Black,https://en.wikipedia.org/wiki/Abdul-Karim_al-Jabbar,Medium,Wikipedia metadata matched Black/African-American language.
00-0031965,Abou Toure,RB,White,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0037546,Abram Smith,RB,White,https://en.wikipedia.org/wiki/Abram_Smith_(American_football),Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0035716,Aca'Cedric Ware,RB,White,https://en.wikipedia.org/wiki/Michael_Harper_(gridiron_football),Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0035086,Adam Choice,RB,White,https://en.wikipedia.org/wiki/Adam_Choice,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0036727,Adam Prentice,RB,White,https://en.wikipedia.org/wiki/Adam_Prentice,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0020142,Adam Wright,RB,White,https://en.wikipedia.org/wiki/Ceyair_Wright,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0022883,Adimchinobi Echemandu,RB,White,https://en.wikipedia.org/wiki/Adimchinobe_Echemandu,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0036000,Adrian Killins,RB,White,https://en.wikipedia.org/wiki/Adrian_Killins,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0011869,Adrian Murrell,RB,Black,https://en.wikipedia.org/wiki/Adrian_Murrell,Medium,Wikipedia metadata matched Black/African-American language.
00-0021306,Adrian Peterson,RB,Black,https://en.wikipedia.org/wiki/Adrian_Peterson,Medium,Wikipedia metadata matched Black/African-American language.
00-0025394,Adrian Peterson,RB,Black,https://en.wikipedia.org/wiki/Adrian_Peterson,Medium,Wikipedia metadata matched Black/African-American language.
