name,full_team,team,year,games_in_season,num_games_injured,num_games_missing,injury_types,earliest_injury,latest_injury,head,shoulder,upper_torso,lower_torso,arm,hand,leg,foot,position_id,clean_name,nflverse_position_group,position_group,injury_burden
Michael Adams,Arizona Cardinals,crd,2009,16,3,0,hamstring,8.0,14.0,0,0,0,0,0,0,1,0,DEF,michael adams,DB,DB,3
Jason Banks,Arizona Cardinals,crd,2009,16,0,0,,,,0,0,0,0,0,0,0,0,DEF,jason banks,DL,DL,0
Bertrand Berry,Arizona Cardinals,crd,2009,16,1,0,illness,13.0,13.0,0,0,0,0,0,0,0,0,DEF,bertrand berry,,,1
Anquan Boldin,Arizona Cardinals,crd,2009,16,6,1,hamstring  ankle,1.0,9.0,0,0,0,0,0,0,1,1,WR,anquan boldin,WR,WR,7
Alan Branch,Arizona Cardinals,crd,2009,16,1,0,ankle,13.0,13.0,0,0,0,0,0,0,0,1,DEF,alan branch,DL,DL,1
Steve Breaston,Arizona Cardinals,crd,2009,16,11,1,knee,1.0,11.0,0,0,0,0,0,0,1,0,WR,steve breaston,WR,WR,12
Cody Brown,Arizona Cardinals,crd,2009,16,16,16,wrist,1.0,16.0,0,0,0,0,0,1,0,0,,,,,32
Levi Brown,Arizona Cardinals,crd,2009,16,2,0,ankle knee,3.0,6.0,0,0,0,0,0,0,1,1,OL,levi brown,OL,OL,2
Calais Campbell,Arizona Cardinals,crd,2009,16,0,0,,,,0,0,0,0,0,0,0,0,DEF,calais campbell,DL,DL,0
Karlos Dansby,Arizona Cardinals,crd,2009,16,3,0,shoulder,10.0,12.0,0,1,0,0,0,0,0,0,DEF,karlos dansby,LB,LB,3
Will Davis,Arizona Cardinals,crd,2009,16,7,5,knee,3.0,16.0,0,0,0,0,0,0,1,0,DEF,will davis,LB,LB,12
Darnell Dockett,Arizona Cardinals,crd,2009,16,4,0,ankle,3.0,8.0,0,0,0,0,0,0,0,1,DEF,darnell dockett,DL,DL,4
Early Doucet,Arizona Cardinals,crd,2009,16,3,3,ribs,1.0,3.0,0,0,1,0,0,0,0,0,WR,early doucet,WR,WR,6
Larry Fitzgerald,Arizona Cardinals,crd,2009,16,3,0,knee elbow,14.0,16.0,0,0,0,0,1,0,1,0,WR,larry fitzgerald,WR,WR,3
Mike Gandy,Arizona Cardinals,crd,2009,16,8,4,pelvis hernia,9.0,16.0,0,0,1,1,0,0,0,0,OL,mike gandy,OL,OL,12
Ben Graham,Arizona Cardinals,crd,2009,16,2,0,groin,13.0,14.0,0,0,0,0,0,0,1,0,P,ben graham,,,2
Justin Green,Arizona Cardinals,crd,2009,16,16,16,knee,1.0,16.0,0,0,0,0,0,0,1,0,,,,,32
Clark Haggans,Arizona Cardinals,crd,2009,16,0,0,,,,0,0,0,0,0,0,0,0,DEF,clark haggans,LB,LB,0
Gerald Hayes,Arizona Cardinals,crd,2009,16,5,2,back,8.0,14.0,0,0,1,0,0,0,0,0,DEF,gerald hayes,LB,LB,7
Ali Highsmith,Arizona Cardinals,crd,2009,16,2,0,hamstring thigh,3.0,5.0,0,0,0,0,0,0,2,0,DEF,ali highsmith,LB,LB,2
Tim Hightower,Arizona Cardinals,crd,2009,16,3,0,thumb,12.0,14.0,0,0,0,0,0,1,0,0,RB,tim hightower,RB,RB,3
Kenny Iwebema,Arizona Cardinals,crd,2009,16,14,5,ankle knee thumb shoulder head,2.0,16.0,1,1,0,0,0,1,1,1,DEF,kenny iwebema,DL,DL,19
Herman Johnson,Arizona Cardinals,crd,2009,16,1,1,back,8.0,8.0,0,0,1,0,0,0,0,0,,,,,2
Rashad Johnson,Arizona Cardinals,crd,2009,16,2,0,ankle,3.0,4.0,0,0,0,0,0,0,0,1,DEF,rashad johnson,DB,DB,2
Dan Kreider,Arizona Cardinals,crd,2009,16,2,1,thigh neck,13.0,16.0,1,0,0,0,0,0,1,0,RB,dan kreider,RB,RB,3
Deuce Lutui,Arizona Cardinals,crd,2009,16,0,0,,,,0,0,0,0,0,0,0,0,OL,deuce lutui,OL,OL,0
Bryant McFadden,Arizona Cardinals,crd,2009,16,7,0,groin ankle knee hamstring,3.0,15.0,0,0,0,0,0,0,3,1,DEF,bryant mcfadden,DB,DB,7
Sean Morey,Arizona Cardinals,crd,2009,16,8,3,ribs  illness head concussion head,1.0,16.0,3,0,1,0,0,0,0,0,WR,sean morey,WR,WR,11
Chike Okeafor,Arizona Cardinals,crd,2009,16,5,3,shoulder back,2.0,11.0,0,1,1,0,0,0,0,0,DEF,chike okeafor,LB,LB,8
Ben Patrick,Arizona Cardinals,crd,2009,16,5,3,served knee head,5.0,16.0,1,0,0,0,0,0,1,0,TE,ben patrick,TE,TE,8
Neil Rackers,Arizona Cardinals,crd,2009,16,7,2,hamstring groin,8.0,16.0,0,0,0,0,0,0,2,0,K,neil rackers,,,9
Dominique Rodgers-Cromartie,Arizona Cardinals,crd,2009,16,7,0,finger ankle toe,4.0,15.0,0,0,0,0,0,1,0,2,DEF,dominique rodgers cromartie,DB,DB,7
Antrel Rolle,Arizona Cardinals,crd,2009,16,5,1,quadriceps foot thigh,3.0,16.0,0,0,0,0,0,0,2,1,DEF,antrel rolle,DB,DB,6
Stephen Spach,Arizona Cardinals,crd,2009,16,7,7,ankle knee,5.0,14.0,0,0,0,0,0,0,1,1,TE,stephen spach,TE,TE,14
Brian St. Pierre,Arizona Cardinals,crd,2009,16,3,3,back,1.0,3.0,0,0,1,0,0,0,0,0,QB,brian st pierre,QB,QB,6
Pago Togafau,Arizona Cardinals,crd,2009,16,16,14,foot,1.0,16.0,0,0,0,0,0,0,0,1,DEF,pago togafau,LB,LB,30
Greg Toler,Arizona Cardinals,crd,2009,16,1,0,elbow,16.0,16.0,0,0,0,0,1,0,0,0,DEF,greg toler,,,1
Matt Ware,Arizona Cardinals,crd,2009,16,5,5,shoulder knee,2.0,16.0,0,1,0,0,0,0,1,0,DEF,matt ware,DB,DB,10
Kurt Warner,Arizona Cardinals,crd,2009,16,4,1,shoulder head,3.0,12.0,1,1,0,0,0,0,0,0,QB,kurt warner,QB,QB,5
Beanie Wells,Arizona Cardinals,crd,2009,16,2,0,hip groin,6.0,16.0,0,0,0,1,0,0,1,0,RB,beanie wells,,RB,2
Reggie Wells,Arizona Cardinals,crd,2009,16,9,0,thumb,2.0,10.0,0,0,0,0,0,1,0,0,OL,reggie wells,OL,OL,9
Adrian Wilson,Arizona Cardinals,crd,2009,16,1,0,groin,10.0,10.0,0,0,0,0,0,0,1,0,DEF,adrian wilson,DB,DB,1
Jason Wright,Arizona Cardinals,crd,2009,16,3,0,back thumb illness,5.0,13.0,0,0,1,0,0,1,0,0,RB,jason wright,RB,RB,3
John Abraham,Atlanta Falcons,atl,2009,16,3,0,knee  foot,1.0,8.0,0,0,0,0,0,0,1,1,DEF,john abraham,DL,DL,3
Jamaal Anderson,Atlanta Falcons,atl,2009,16,3,3,chest,14.0,16.0,0,0,1,0,0,0,0,0,DEF,jamaal anderson,DL,DL,6
Jonathan Babineaux,Atlanta Falcons,atl,2009,16,6,0,ankle shoulder,7.0,16.0,0,1,0,0,0,0,0,1,DEF,jonathan babineaux,DL,DL,6
Sam Baker,Atlanta Falcons,atl,2009,16,10,2,ankle elbow elbow hamstring,7.0,16.0,0,0,0,0,2,0,1,1,OL,sam baker,OL,OL,12
Kroy Biermann,Atlanta Falcons,atl,2009,16,2,0,neck,7.0,9.0,1,0,0,0,0,0,0,0,DEF,kroy biermann,DL,DL,2
Marty Booker,Atlanta Falcons,atl,2009,16,1,0,abdomen,5.0,5.0,0,0,1,0,0,0,0,0,WR,marty booker,WR,WR,1
