player_id,season,player_name,team,position,position_group,race,race_source,confidence,notes
00-0000939,2000,Aaron Beasley,JAX,DB,DB,Other/Unknown,Not classified,Low,
00-0006034,2000,Aaron Glenn,NYJ,DB,DB,Other/Unknown,Not classified,Low,
00-0017710,2000,Aeneas Williams,ARI,DB,DB,Other/Unknown,Not classified,Low,
00-0019603,2000,Ahmed Plummer,SF,DB,DB,Other/Unknown,Not classified,Low,
00-0019129,2000,Ainsley Battles,PIT,DB,DB,Other/Unknown,Not classified,Low,
00-0006915,2000,Al Harris,PHI,DB,DB,Other/Unknown,Not classified,Low,
00-0011470,2000,Alex Molden,NO,DB,DB,Other/Unknown,Not classified,Low,
00-0014071,2000,Allen Rossum,GB,DB,DB,Other/Unknown,Not classified,Low,
00-0017342,2000,Andre Weathers,NYG,DB,DB,Other/Unknown,Not classified,Low,
00-0004440,2000,Anthony Dorsett,OAK,DB,DB,Other/Unknown,Not classified,Low,
00-0019478,2000,Anthony Malbrough,CLE,DB,DB,Other/Unknown,Not classified,Low,
00-0011390,2000,Anthony Mitchell,BAL,DB,DB,Other/Unknown,Not classified,Low,
00-0012547,2000,Anthony Parker,SF,DB,DB,Other/Unknown,Not classified,Low,
00-0013052,2000,Anthony Poindexter,BAL,DB,DB,Other/Unknown,Not classified,Low,
00-0018093,2000,Antoine Winfield,BUF,DB,DB,Other/Unknown,Not classified,Low,
00-0000696,2000,Antonio Banks,MIN,DB,DB,Other/Unknown,Not classified,Low,
00-0009620,2000,Antonio Langham,NE,DB,DB,Other/Unknown,Not classified,Low,
00-0004747,2000,Antuan Edwards,GB,DB,DB,Other/Unknown,Not classified,Low,
00-0019592,2000,Antwan Harris,NE,DB,DB,Other/Unknown,Not classified,Low,
00-0019567,2000,Aric Morris,TEN,DB,DB,Other/Unknown,Not classified,Low,
00-0007097,2000,Armon Hatcher,SD,DB,DB,Other/Unknown,Not classified,Low,
00-0007115,2000,Artrell Hawkins,CIN,DB,DB,Other/Unknown,Not classified,Low,
00-0019551,2000,Arturo Freeman,MIA,DB,DB,Other/Unknown,Not classified,Low,
00-0000261,2000,Ashley Ambrose,ATL,DB,DB,Other/Unknown,Not classified,Low,
00-0009833,2000,Bashir Levingston,NYG,DB,DB,Other/Unknown,Not classified,Low,
00-0019711,2000,Ben Kelly,MIA,DB,DB,Other/Unknown,Not classified,Low,
00-0000518,2000,Billy Austin,IND,DB,DB,Other/Unknown,Not classified,Low,
00-0008335,2000,Billy Jenkins,DEN,DB,DB,Other/Unknown,Not classified,Low,
00-0001266,2000,Blaine Bishop,TEN,DB,DB,Other/Unknown,Not classified,Low,
00-0019565,2000,Bobby Myers,TEN,DB,DB,Other/Unknown,Not classified,Low,
00-0016082,2000,Bobby Taylor,PHI,DB,DB,Other/Unknown,Not classified,Low,
00-0017012,2000,Bracy Walker,KC,DB,DB,Other/Unknown,Not classified,Low,
00-0017179,2000,Brad Ware,TEN,DB,DB,Other/Unknown,Not classified,Low,
00-0019392,2000,Brandon Jennings,OAK,DB,DB,Other/Unknown,Not classified,Low,
00-0019329,2000,Brandon McLemore,TEN,DB,DB,Other/Unknown,Not classified,Low,
00-0000136,2000,Brent Alexander,PIT,DB,DB,Other/Unknown,Not classified,Low,
00-0004073,2000,Brian Dawkins,PHI,DB,DB,Other/Unknown,Not classified,Low,
00-0009106,2000,Brian Kelly,TB,DB,DB,Other/Unknown,Not classified,Low,
00-0017013,2000,Brian Walker,MIA,DB,DB,Other/Unknown,Not classified,Low,
00-0010381,2000,Brock Marion,MIA,DB,DB,Other/Unknown,Not classified,Low,
00-0017467,2000,Bryant Westbrook,DET,DB,DB,Other/Unknown,Not classified,Low,
00-0001676,2000,Calvin Branch,OAK,DB,DB,Other/Unknown,Not classified,Low,
00-0006265,2000,Carlton Gray,KC,DB,DB,Other/Unknown,Not classified,Low,
00-0009561,2000,Carnell Lake,JAX,DB,DB,Other/Unknown,Not classified,Low,
00-0004411,2000,Cedric Donaldson,CHI,DB,DB,Other/Unknown,Not classified,Low,
00-0003516,2000,Chad Cota,IND,DB,DB,Other/Unknown,Not classified,Low,
00-0014539,2000,Chad Scott,PIT,DB,DB,Other/Unknown,Not classified,Low,
00-0000585,2000,Champ Bailey,WAS,DB,DB,Other/Unknown,Not classified,Low,
00-0005244,2000,Charles Fisher,CIN,DB,DB,Other/Unknown,Not classified,Low,
00-0018227,2000,Charles Woodson,OAK,DB,DB,Other/Unknown,Not classified,Low,
00-0017750,2000,Charlie Williams,DAL,DB,DB,Other/Unknown,Not classified,Low,
00-0000112,2000,Chris Akins,GB,DB,DB,Other/Unknown,Not classified,Low,
00-0000112,2000,Chris Akins,DAL,DB,DB,Other/Unknown,Not classified,Low,
00-0002613,2000,Chris Canty,NO,DB,DB,Other/Unknown,Not classified,Low,
00-0002613,2000,Chris Canty,SEA,DB,DB,Other/Unknown,Not classified,Low,
00-0002720,2000,Chris Carter,CIN,DB,DB,Other/Unknown,Not classified,Low,
00-0007143,2000,Chris Hayes,NYJ,DB,DB,Other/Unknown,Not classified,Low,
00-0010634,2000,Chris McAlister,BAL,DB,DB,Other/Unknown,Not classified,Low,
00-0012340,2000,Chris Oldham,NO,DB,DB,Other/Unknown,Not classified,Low,
00-0017299,2000,Chris Watson,BUF,DB,DB,Other/Unknown,Not classified,Low,
00-0010094,2000,Clarence Love,BAL,DB,DB,Other/Unknown,Not classified,Low,
00-0003676,2000,Clifton Crosby,IND,DB,DB,Other/Unknown,Not classified,Low,
00-0013623,2000,Coby Rhinehart,ARI,DB,DB,Other/Unknown,Not classified,Low,
00-0002919,2000,Corey Chavous,ARI,DB,DB,Other/Unknown,Not classified,Low,
00-0005627,2000,Corey Fuller,CLE,DB,DB,Other/Unknown,Not classified,Low,
00-0006927,2000,Corey Harris,BAL,DB,DB,Other/Unknown,Not classified,Low,
00-0018614,2000,Corey Harris,NO,DB,DB,Other/Unknown,Not classified,Low,
00-0001897,2000,Corwin Brown,DET,DB,DB,Other/Unknown,Not classified,Low,
00-0006647,2000,Cory Hall,CIN,DB,DB,Other/Unknown,Not classified,Low,
00-0019428,2000,Courtney Jackson,BUF,DB,DB,Other/Unknown,Not classified,Low,
00-0011250,2000,Craig Miller,JAX,DB,DB,Other/Unknown,Not classified,Low,
00-0004337,2000,Cris Dishman,MIN,DB,DB,Other/Unknown,Not classified,Low,
00-0002180,2000,Curtis Buckley,WAS,DB,DB,Other/Unknown,Not classified,Low,
00-0014859,2000,Dainon Sidney,TEN,DB,DB,Other/Unknown,Not classified,Low,
00-0002722,2000,Dale Carter,DEN,DB,DB,Other/Unknown,Not classified,Low,
00-0013675,2000,Damien Richardson,CAR,DB,DB,Other/Unknown,Not classified,Low,
00-0013850,2000,Damien Robinson,TB,DB,DB,Other/Unknown,Not classified,Low,
00-0011545,2000,Damon Moore,PHI,DB,DB,Other/Unknown,Not classified,Low,
00-0019156,2000,Darius Clark,DEN,DB,DB,Other/Unknown,Not classified,Low,
00-0017023,2000,Darnell Walker,DET,DB,DB,Other/Unknown,Not classified,Low,
00-0006316,2000,Darrell Green,WAS,DB,DB,Other/Unknown,Not classified,Low,
00-0012808,2000,Darren Perry,NO,DB,DB,Other/Unknown,Not classified,Low,
00-0014724,2000,Darren Sharper,GB,DB,DB,Other/Unknown,Not classified,Low,
00-0018228,2000,Darren Woodson,DAL,DB,DB,Other/Unknown,Not classified,Low,
00-0018964,2000,Darrick Vaughn,ATL,DB,DB,Other/Unknown,Not classified,Low,
00-0006148,2000,Darrien Gordon,OAK,DB,DB,Other/Unknown,Not classified,Low,
00-0013154,2000,Darryl Pounds,DEN,DB,DB,Other/Unknown,Not classified,Low,
00-0017766,2000,Darryl Williams,CIN,DB,DB,Other/Unknown,Not classified,Low,
00-0009849,2000,Darryll Lewis,SD,DB,DB,Other/Unknown,Not classified,Low,
00-0013122,2000,Daryl Porter,BUF,DB,DB,Other/Unknown,Not classified,Low,
00-0016242,2000,Dave Thomas,NYG,DB,DB,Other/Unknown,Not classified,Low,
00-0019469,2000,David Barrett,ARI,DB,DB,Other/Unknown,Not classified,Low,
00-0019572,2000,David Gibson,TB,DB,DB,Other/Unknown,Not classified,Low,
00-0019563,2000,David Macklin,IND,DB,DB,Other/Unknown,Not classified,Low,
00-0016179,2000,David Terrell,WAS,DB,DB,Other/Unknown,Not classified,Low,
00-0010777,2000,Daylon McCutcheon,CLE,DB,DB,Other/Unknown,Not classified,Low,
00-0008339,2000,DeRon Jenkins,SD,DB,DB,Other/Unknown,Not classified,Low,
00-0014324,2000,Deion Sanders,WAS,DB,DB,Other/Unknown,Not classified,Low,
00-0019645,2000,Deltha O'Neal,DEN,DB,DB,Other/Unknown,Not classified,Low,
00-0017026,2000,Denard Walker,TEN,DB,DB,Other/Unknown,Not classified,Low,
00-0019560,2000,Deon Grant,CAR,DB,DB,Other/Unknown,Not classified,Low,
00-0016577,2000,Deshea Townsend,PIT,DB,DB,Other/Unknown,Not classified,Low,
00-0019097,2000,Deveron Harper,CAR,DB,DB,Other/Unknown,Not classified,Low,
00-0002373,2000,Devin Bush,STL,DB,DB,Other/Unknown,Not classified,Low,
00-0017241,2000,Dewayne Washington,PIT,DB,DB,Other/Unknown,Not classified,Low,
00-0008115,2000,Dexter Jackson,TB,DB,DB,Other/Unknown,Not classified,Low,
00-0010699,2000,Dexter McCleon,STL,DB,DB,Other/Unknown,Not classified,Low,
00-0018587,2000,Don Morgan,MIN,DB,DB,Other/Unknown,Not classified,Low,
00-0011407,2000,Donald Mitchell,TEN,DB,DB,Other/Unknown,Not classified,Low,
00-0000017,2000,Donnie Abraham,TB,DB,DB,Other/Unknown,Not classified,Low,
00-0006395,2000,Donovan Greer,BUF,DB,DB,Other/Unknown,Not classified,Low,
00-0003897,2000,Donovin Darius,JAX,DB,DB,Other/Unknown,Not classified,Low,
00-0004978,2000,Doug Evans,CAR,DB,DB,Other/Unknown,Not classified,Low,
00-0001388,2000,Dre' Bly,STL,DB,DB,Other/Unknown,Not classified,Low,
00-0018575,2000,Duane Hawthorne,DAL,DB,DB,Other/Unknown,Not classified,Low,
00-0015577,2000,Duane Starks,BAL,DB,DB,Other/Unknown,Not classified,Low,
00-0019607,2000,Dwayne Goodrich,DAL,DB,DB,Other/Unknown,Not classified,Low,
00-0009971,2000,Earl Little,CLE,DB,DB,Other/Unknown,Not classified,Low,
00-0018998,2000,Earl Riley,DAL,DB,DB,Other/Unknown,Not classified,Low,
00-0019124,2000,Earthwind Moreland,NYJ,DB,DB,Other/Unknown,Not classified,Low,
00-0017787,2000,Elijah Williams,ATL,DB,DB,Other/Unknown,Not classified,Low,
00-0010785,2000,Emmanuel McDaniel,NYG,DB,DB,Other/Unknown,Not classified,Low,
00-0000204,2000,Eric Allen,OAK,DB,DB,Other/Unknown,Not classified,Low,
00-0001931,2000,Eric Brown,DEN,DB,DB,Other/Unknown,Not classified,Low,
00-0003977,2000,Eric Davis,CAR,DB,DB,Other/Unknown,Not classified,Low,
