player_id,player_name,position_group,race,race_source,confidence,notes
00-0020305,A.J. Feeley,QB,,,,
00-0031288,A.J. McCarron,QB,,,,
00-0001823,Aaron Brooks,QB,,,,
00-0031287,Aaron Murray,QB,,,,
00-0023459,Aaron Rodgers,QB,,,,
00-0038658,Adrian Martinez,QB,,,,
00-0023585,Adrian McPherson,QB,,,,
00-0038579,Aidan O'Connell,QB,,,,
00-0015082,Akili Smith,QB,,,,
00-0033238,Alek Torgersen,QB,,,,
00-0034732,Alex McGough,QB,,,,
00-0023436,Alex Smith,QB,,,,
00-0029623,Alex Tanney,QB,,,,
00-0016838,Alex Van Pelt,QB,,,,
00-0029668,Andrew Luck,QB,,,,
00-0039334,Andrew Peasley,QB,,,,
00-0023504,Andrew Walter,QB,,,,
00-0027973,Andy Dalton,QB,,,,
00-0022761,Andy Hall,QB,,,,
00-0037175,Anthony Brown,QB,,,,
00-0035988,Anthony Gordon,QB,,,,
00-0039164,Anthony Richardson,QB,,,,
00-0018272,Anthony Wright,QB,,,,
00-0034608,Austin Allen,QB,,,,
00-0028957,Austin Davis,QB,,,,
00-0039464,Austin Reed,QB,,,,
00-0030120,B.J. Daniels,QB,,,,
00-0038108,Bailey Zappe,QB,,,,
00-0034855,Baker Mayfield,QB,,,,
00-0033866,Bart Houston,QB,,,,
00-0036384,Ben DiNucci,QB,,,,
00-0022924,Ben Roethlisberger,QB,,,,
00-0007530,Billy Joe Hobert,QB,,,,
00-0016534,Billy Joe Tolliver,QB,,,,
00-0019041,Billy Volek,QB,,,,
00-0027948,Blaine Gabbert,QB,,,,
00-0031407,Blake Bortles,QB,,,,
00-0039732,Bo Nix,QB,,,,
00-0007832,Bobby Hoying,QB,,,,
00-0008442,Brad Johnson,QB,,,,
00-0033585,Brad Kaaya,QB,,,,
00-0030292,Brad Sorensen,QB,,,,
00-0022774,Bradlee Van Pelt,QB,,,,
00-0025409,Brady Quinn,QB,,,,
00-0032434,Brandon Allen,QB,,,,
00-0021276,Brandon Doman,QB,,,,
00-0032446,Brandon Doughty,QB,,,,
00-0037472,Brandon Peters,QB,,,,
00-0029677,Brandon Weeden,QB,,,,
00-0038365,Braxton Burmeister,QB,,,,
00-0023859,Brett Basanez,QB,,,,
00-0005106,Brett Favre,QB,,,,
00-0031589,Brett Hundley,QB,,,,
00-0025694,Brett Ratliff,QB,,,,
00-0034955,Brett Rypien,QB,,,,
00-0026196,Brian Brohm,QB,,,,
00-0006423,Brian Griese,QB,,,,
00-0026625,Brian Hoyer,QB,,,,
00-0036092,Brian Lewerke,QB,,,,
00-0022101,Brian St. Pierre,QB,,,,
00-0023158,Brock Berlin,QB,,,,
00-0007834,Brock Huard,QB,,,,
00-0029682,Brock Osweiler,QB,,,,
00-0037834,Brock Purdy,QB,,,,
00-0024300,Brodie Croyle,QB,,,,
00-0034697,Brogan Roback,QB,,,,
00-0022026,Brooks Bollinger,QB,,,,
00-0024408,Bruce Gradkowski,QB,,,,
00-0035939,Bryce Perkins,QB,,,,
00-0031568,Bryce Petty,QB,,,,
00-0039150,Bryce Young,QB,,,,
00-0030673,Bryn Renner,QB,,,,
00-0001785,Bubby Brister,QB,,,,
00-0022177,Byron Leftwich,QB,,,,
00-0033936,C.J. Beathard,QB,,,,
00-0039163,C.J. Stroud,QB,,,,
00-0011044,Cade McNown,QB,,,,
00-0025970,Caleb Hanie,QB,,,,
00-0039918,Caleb Williams,QB,,,,
00-0027939,Cam Newton,QB,,,,
00-0033098,Cardale Jones,QB,,,,
00-0021429,Carson Palmer,QB,,,,
00-0037139,Carson Strong,QB,,,,
00-0032950,Carson Wentz,QB,,,,
00-0039534,Carter Bradley,QB,,,,
00-0035812,Case Cookus,QB,,,,
00-0028986,Case Keenum,QB,,,,
00-0039657,Casey Bauman,QB,,,,
00-0022829,Casey Bramlet,QB,,,,
00-0023739,Casey Printers,QB,,,,
00-0026197,Chad Henne,QB,,,,
00-0020562,Chad Hutchinson,QB,,,,
00-0034478,Chad Kanoff,QB,,,,
00-0033597,Chad Kelly,QB,,,,
00-0019559,Chad Pennington,QB,,,,
00-0029554,Chandler Harnish,QB,,,,
00-0000865,Charlie Batch,QB,,,,
00-0023502,Charlie Frye,QB,,,,
00-0024296,Charlie Whitehurst,QB,,,,
00-0026544,Chase Daniel,QB,,,,
00-0037507,Chase Garbers,QB,,,,
00-0034291,Chase Litton,QB,,,,
00-0002876,Chris Chandler,QB,,,,
00-0006410,Chris Greisen,QB,,,,
00-0037324,Chris Oladokun,QB,,,,
00-0019709,Chris Redman,QB,,,,
00-0022005,Chris Simms,QB,,,,
00-0035752,Chris Streveler,QB,,,,
00-0020434,Chris Weinke,QB,,,,
00-0032953,Christian Hackenberg,QB,,,,
00-0027950,Christian Ponder,QB,,,,
00-0035283,Clayton Thorson,QB,,,,
00-0038582,Clayton Tune,QB,,,,
00-0020565,Cleo Lemon,QB,,,,
00-0019442,Clint Stoerner,QB,,,,
00-0033104,Cody Kessler,QB,,,,
00-0022731,Cody Pickett,QB,,,,
00-0037165,Cole Kelley,QB,,,,
00-0027974,Colin Kaepernick,QB,,,,
00-0026326,Colt Brennan,QB,,,,
00-0027688,Colt McCoy,QB,,,,
00-0032893,Connor Cook,QB,,,,
00-0034897,Connor Jessop,QB,,,,
00-0030661,Connor Shaw,QB,,,,
00-0033662,Cooper Rush,QB,,,,
00-0014384,Cory Sauter,QB,,,,
00-0022818,Craig Krenzel,QB,,,,
00-0021277,Craig Nall,QB,,,,
00-0025759,Cullen Finnerty,QB,,,,
00-0027134,Curtis Painter,QB,,,,
00-0037201,D'Eriq King,QB,,,,
00-0024437,D.J. Shockley,QB,,,,
00-0033077,Dak Prescott,QB,,,,
00-0034572,Dalton Sturm,QB,,,,
00-0003600,Dameyune Craig,QB,,,,
00-0007835,Damon Huard,QB,,,,
00-0027605,Dan LeFevour,QB,,,,
00-0023578,Dan Orlovsky,QB,,,,
00-0033999,Dane Evans,QB,,,,
00-0035710,Daniel Jones,QB,,,,
00-0034423,Danny Etling,QB,,,,
00-0009007,Danny Kanell,QB,,,,
00-0018333,Danny Wuerffel,QB,,,,
00-0023943,Darrell Hackney,QB,,,,
00-0003739,Daunte Culpepper,QB,,,,
00-0001907,Dave Brown,QB,,,,
00-0019765,Dave Dickenson,QB,,,,
00-0022091,Dave Ragone,QB,,,,
00-0035040,David Blough,QB,,,,
00-0020608,David Carr,QB,,,,
00-0031076,David Fales,QB,,,,
00-0021231,David Garrard,QB,,,,
00-0023520,David Greene,QB,,,,
00-0019957,David Rivers,QB,,,,
00-0037360,Davis Cheek,QB,,,,
00-0036898,Davis Mills,QB,,,,
00-0033550,Davis Webb,QB,,,,
00-0033899,DeShone Kizer,QB,,,,
00-0026296,Dennis Dixon,QB,,,,
00-0023645,Derek Anderson,QB,,,,
00-0031280,Derek Carr,QB,,,,
00-0033537,Deshaun Watson,QB,,,,
00-0038122,Desmond Ridder,QB,,,,
00-0039801,Devin Leary,QB,,,,
00-0035577,Devlin Hodges,QB,,,,
00-0028863,Dominique Davis,QB,,,,
00-0011022,Donovan McNabb,QB,,,,
00-0038583,Dorian Thompson-Robinson,QB,,,,
00-0005363,Doug Flutie,QB,,,,
00-0019087,Doug Johnson,QB,,,,
00-0012726,Doug Pederson,QB,,,,
00-0039851,Drake Maye,QB,,,,
00-0038385,Dresser Winn,QB,,,,
00-0035483,Drew Anderson,QB,,,,
00-0001361,Drew Bledsoe,QB,,,,
00-0020531,Drew Brees,QB,,,,
00-0022181,Drew Henson,QB,,,,
00-0035704,Drew Lock,QB,,,,
00-0024149,Drew Olson,QB,,,,
00-0038137,Drew Plitt,QB,,,,
00-0025430,Drew Stanton,QB,,,,
00-0026865,Drew Willy,QB,,,,
00-0037209,Dustin Crum,QB,,,,
00-0030970,Dustin Vaughan,QB,,,,
00-0035232,Dwayne Haskins,QB,,,,
00-0031510,Dylan Thompson,QB,,,,
00-0030526,E.J. Manuel,QB,,,,
00-0037068,E.J. Perry,QB,,,,
00-0035282,Easton Stick,QB,,,,
00-0022803,Eli Manning,QB,,,,
00-0006300,Elvis Grbac,QB,,,,
00-0039331,Emory Jones,QB,,,,
00-0035010,Eric Dungey,QB,,,,
00-0018483,Eric Zeier,QB,,,,
00-0026302,Erik Ainge,QB,,,,
00-0036825,Feleipe Franks,QB,,,,
00-0035289,Gardner Minshew,QB,,,,
00-0031395,Garrett Gilbert,QB,,,,
00-0032148,Garrett Grayson,QB,,,,
00-0039482,Gavin Hardison,QB,,,,
00-0030565,Geno Smith,QB,,,,
00-0022112,Gibran Hamdan,QB,,,,
00-0019658,Giovanni Carmazzi,QB,,,,
00-0027602,Graham Harrell,QB,,,,
00-0028146,Greg McElroy,QB,,,,
00-0005589,Gus Frerotte,QB,,,,
00-0038550,Hendon Hooker,QB,,,,
00-0019764,Henry Burris,QB,,,,
00-0038749,Holton Ahlers,QB,,,,
00-0026702,Hunter Cantwell,QB,,,,
00-0036929,Ian Book,QB,,,,
00-0024362,Ingle Martin,QB,,,,
00-0039923,J.J. McCarthy,QB,,,,
00-0022912,J.P. Losman,QB,,,,
00-0034126,J.T. Barrett,QB,,,,
00-0021296,J.T. O'Sullivan,QB,,,,
00-0025388,JaMarcus Russell,QB,,,,
00-0037390,Jack Coan,QB,,,,
00-0034074,Jack Heneghan,QB,,,,
00-0039501,Jack Plummer,QB,,,,
00-0036226,Jacob Eason,QB,,,,
00-0033119,Jacoby Brissett,QB,,,,
00-0035100,Jake Browning,QB,,,,
00-0032490,Jake Coker,QB,,,,
00-0004161,Jake Delhomme,QB,,,,
00-0035394,Jake Dolegala,QB,,,,
00-0036197,Jake Fromm,QB,,,,
00-0038998,Jake Haener,QB,,,,
00-0032073,Jake Heaps,QB,,,,
00-0027946,Jake Locker,QB,,,,
00-0036312,Jake Luton,QB,,,,
00-0013042,Jake Plummer,QB,,,,
00-0032431,Jake Rudock,QB,,,,
00-0035570,Jalan McClendon,QB,,,,
00-0036389,Jalen Hurts,QB,,,,
00-0031755,Jameill Showers,QB,,,,
00-0031503,Jameis Winston,QB,,,,
00-0038683,James Blackman,QB,,,,
00-0036301,James Morgan,QB,,,,
00-0010455,Jamie Martin,QB,,,,
00-0033106,Jared Goff,QB,,,,
00-0022590,Jared Lorenzen,QB,,,,
00-0038598,Jaren Hall,QB,,,,
00-0019682,Jarious Jackson,QB,,,,
00-0037650,Jarrett Guarantano,QB,,,,
00-0035264,Jarrett Stidham,QB,,,,
00-0039575,Jason Bean,QB,,,,
00-0023460,Jason Campbell,QB,,,,
00-0022330,Jason Fife,QB,,,,
00-0005794,Jason Garrett,QB,,,,
00-0021759,Jason Gesser,QB,,,,
00-0024226,Jay Cutler,QB,,,,
00-0005180,Jay Fiedler,QB,,,,
00-0039910,Jayden Daniels,QB,,,,
00-0001335,Jeff Blake,QB,,,,
00-0001810,Jeff Brohm,QB,,,,
00-0032436,Jeff Driskel,QB,,,,
00-0005755,Jeff Garcia,QB,,,,
00-0005885,Jeff George,QB,,,,
00-0021334,Jeff Kelly,QB,,,,
00-0009868,Jeff Lewis,QB,,,,
00-0025538,Jeff Rowe,QB,,,,
00-0022765,Jeff Smoker,QB,,,,
00-0030024,Jeff Tuel,QB,,,,
00-0028370,Jerrod Johnson,QB,,,,
00-0020483,Jesse Palmer,QB,,,,
00-0006808,Jim Harbaugh,QB,,,,
00-0011276,Jim Miller,QB,,,,
00-0022744,Jim Sorgi,QB,,,,
00-0027659,Jimmy Clausen,QB,,,,
00-0031345,Jimmy Garoppolo,QB,,,,
00-0036442,Joe Burrow,QB,,,,
00-0032630,Joe Callahan,QB,,,,
00-0026158,Joe Flacco,QB,,,,
00-0005902,Joe Germaine,QB,,,,
00-0019579,Joe Hamilton,QB,,,,
00-0033027,Joe Licata,QB,,,,
00-0039398,Joe Milton III,QB,,,,
00-0027796,Joe Webb,QB,,,,
00-0032614,Joel Stave,QB,,,,
00-0021141,Joey Harrington,QB,,,,
00-0025427,John Beck,QB,,,,
00-0026277,John David Booty,QB,,,,
