player_id,player_name,position_group,race,race_source,confidence,notes
00-0030228,A.J. Bouye,DB,,,,
00-0029167,A.J. Davis,DB,,,,
00-0038866,A.J. Finley,DB,,,,
00-0036114,A.J. Green,DB,,,,
00-0032620,A.J. Hendy,DB,,,,
00-0034476,A.J. Howard,DB,,,,
00-0027350,A.J. Jefferson,DB,,,,
00-0034594,A.J. Moore,DB,,,,
00-0036752,A.J. Parker,DB,,,,
00-0036285,A.J. Terrell,DB,,,,
00-0037222,A.J. Thomas,DB,,,,
00-0039685,A.J. Woods,DB,,,,
00-0033492,Aarion Penton,DB,,,,
00-0000939,Aaron Beasley,DB,,,,
00-0027338,Aaron Berry,DB,,,,
00-0031259,Aaron Colvin,DB,,,,
00-0034498,Aaron Davis,DB,,,,
00-0023213,Aaron Francisco,DB,,,,
00-0006034,Aaron Glenn,DB,,,,
00-0032332,Aaron Grymes,DB,,,,
00-0036899,Aaron Robinson,DB,,,,
00-0025407,Aaron Ross,DB,,,,
00-0025476,Aaron Rouse,DB,,,,
00-0033510,Aaron Taylor,DB,,,,
00-0027972,Aaron Williams,DB,,,,
00-0036794,Aashari Crosswell,DB,,,,
00-0035561,Abraham Wallace,DB,,,,
00-0023405,Abram Elam,DB,,,,
00-0037502,Abu Daramy-Swaray,DB,,,,
00-0032552,Adairius Barnes,DB,,,,
00-0020521,Adam Archuleta,DB,,,,
00-0023441,Adam Jones,DB,,,,
00-0035060,Adarius Pickett,DB,,,,
00-0021583,Ade Jimoh,DB,,,,
00-0034840,Adonis Alexander,DB,,,,
00-0033878,Adoree' Jackson,DB,,,,
00-0031584,Adrian Amos,DB,,,,
00-0033302,Adrian Colbert,DB,,,,
00-0038964,Adrian Frye,DB,,,,
00-0022386,Adrian Mayes,DB,,,,
00-0032907,Adrian McDonald,DB,,,,
00-0031404,Adrian Phillips,DB,,,,
00-0020505,Adrian Wilson,DB,,,,
00-0017710,Aeneas Williams,DB,,,,
00-0034734,Afolabi Laguda,DB,,,,
00-0033783,Ahkello Witherspoon,DB,,,,
00-0028089,Ahmad Black,DB,,,,
00-0021027,Ahmad Brooks,DB,,,,
00-0022913,Ahmad Carroll,DB,,,,
00-0031096,Ahmad Dixon,DB,,,,
00-0037190,Ahmad Gardner,DB,,,,
00-0023043,Ahmad Treaudo,DB,,,,
00-0019603,Ahmed Plummer,DB,,,,
00-0019129,Ainsley Battles,DB,,,,
00-0035734,Ajene Harris,DB,,,,
00-0038101,Akayleb Evans,DB,,,,
00-0030644,Akeem Davis,DB,,,,
00-0039658,Akeem Dent,DB,,,,
00-0031630,Akeem King,DB,,,,
00-0027726,Akwasi Owusu-Ansah,DB,,,,
00-0026936,Al Afalava,DB,,,,
00-0019785,Al Blades,DB,,,,
00-0039276,Al Blades Jr.,DB,,,,
00-0006915,Al Harris,DB,,,,
00-0031352,Al Louis-Jean,DB,,,,
00-0031521,Al-Hajj Shabazz,DB,,,,
00-0025624,Alan Ball,DB,,,,
00-0024337,Alan Zemaitis,DB,,,,
00-0030916,Alden Darby,DB,,,,
00-0038646,Alex Austin,DB,,,,
00-0035634,Alex Brown,DB,,,,
00-0031563,Alex Carter,DB,,,,
00-0038475,Alex Cook,DB,,,,
00-0039506,Alex Johnson,DB,,,,
00-0011470,Alex Molden,DB,,,,
00-0035188,Alexander Myres,DB,,,,
00-0022745,Alfonso Marshall,DB,,,,
00-0029596,Alfonzo Dennard,DB,,,,
00-0034948,Alijah Holder,DB,,,,
00-0037415,Allan George,DB,,,,
00-0014071,Allen Rossum,DB,,,,
00-0037104,Allie Green,DB,,,,
00-0036380,Alohi Gilman,DB,,,,
00-0038121,Alontae Taylor,DB,,,,
00-0023580,Alphonso Hodge,DB,,,,
00-0021396,Alphonso Roundtree,DB,,,,
00-0027013,Alphonso Smith,DB,,,,
00-0027705,Alterraun Verner,DB,,,,
00-0033646,Alvin Hill,DB,,,,
00-0020152,Alvin Porter,DB,,,,
00-0035632,Amani Hooker,DB,,,,
00-0035270,Amani Oruwariye,DB,,,,
00-0034636,Amari Coleman,DB,,,,
00-0035871,Amari Henderson,DB,,,,
00-0027671,Amari Spievey,DB,,,,
00-0037008,Ambry Thomas,DB,,,,
00-0038872,Amechi Uzodinma,DB,,,,
00-0038624,Ameer Speed,DB,,,,
00-0036375,Amik Robertson,DB,,,,
00-0027213,Anderson Russell,DB,,,,
00-0034623,Andre Chachere,DB,,,,
00-0036941,Andre Cisco,DB,,,,
00-0020503,Andre Dyson,DB,,,,
00-0031087,Andre Hal,DB,,,,
00-0021272,Andre Lott,DB,,,,
00-0017342,Andre Weathers,DB,,,,
00-0022076,Andre Woolfolk,DB,,,,
00-0021194,Andre' Goodman,DB,,,,
00-0039267,Andre' Sam,DB,,,,
00-0032637,Andrew Adams,DB,,,,
00-0038130,Andrew Booth,DB,,,,
00-0020885,Andrew Davison,DB,,,,
00-0039765,Andrew Hayes,DB,,,,
00-0027914,Andrew Sendejo,DB,,,,
00-0035211,Andrew Soroh,DB,,,,
00-0039166,Andrew Whitaker,DB,,,,
00-0032343,Andrew Williamson,DB,,,,
00-0035378,Andrew Wingard,DB,,,,
00-0039821,Andru Phillips,DB,,,,
00-0034265,Anthony Averett,DB,,,,
00-0033047,Anthony Brown,DB,,,,
00-0035393,Anthony Chesley,DB,,,,
00-0033440,Anthony Cioffi,DB,,,,
00-0038510,Anthony Cook,DB,,,,
00-0004440,Anthony Dorsett,DB,,,,
00-0021487,Anthony Floyd,DB,,,,
00-0028160,Anthony Gaitor,DB,,,,
00-0031799,Anthony Harris,DB,,,,
00-0020329,Anthony Henry,DB,,,,
00-0038907,Anthony Johnson,DB,,,,
00-0038411,Anthony Johnson Jr.,DB,,,,
00-0038848,Anthony Kendall,DB,,,,
00-0027539,Anthony Levine,DB,,,,
00-0024095,Anthony Madison,DB,,,,
00-0019478,Anthony Malbrough,DB,,,,
00-0011390,Anthony Mitchell,DB,,,,
00-0012547,Anthony Parker,DB,,,,
00-0013052,Anthony Poindexter,DB,,,,
00-0039727,Anthony Sao,DB,,,,
00-0024298,Anthony Smith,DB,,,,
00-0028357,Anthony Walters,DB,,,,
00-0024421,Antoine Bethea,DB,,,,
00-0036346,Antoine Brooks,DB,,,,
00-0026167,Antoine Cason,DB,,,,
00-0023136,Antoine Harris,DB,,,,
00-0018093,Antoine Winfield,DB,,,,
00-0036411,Antoine Winfield,DB,,,,
00-0031267,Antone Exum,DB,,,,
00-0029553,Antonio Allen,DB,,,,
00-0000696,Antonio Banks,DB,,,,
00-0034049,Antonio Crawford,DB,,,,
00-0024234,Antonio Cromartie,DB,,,,
00-0032933,Antonio Hamilton,DB,,,,
00-0038596,Antonio Johnson,DB,,,,
00-0009620,Antonio Langham,DB,,,,
00-0023538,Antonio Perkins,DB,,,,
00-0036732,Antonio Phillips,DB,,,,
00-0023443,Antrel Rolle,DB,,,,
00-0004747,Antuan Edwards,DB,,,,
00-0023376,Antwain Spann,DB,,,,
00-0019592,Antwan Harris,DB,,,,
00-0026219,Antwaun Molden,DB,,,,
00-0029050,Antwon Blake,DB,,,,
00-0034637,Antwuan Davis,DB,,,,
00-0024079,Anwar Phillips,DB,,,,
00-0026160,Aqib Talib,DB,,,,
00-0036587,Ar'Darius Washington,DB,,,,
00-0019567,Aric Morris,DB,,,,
00-0032704,Arjen Colquhoun,DB,,,,
00-0034050,Armagedon Draughn,DB,,,,
00-0038963,Armani Marsh,DB,,,,
00-0034680,Armani Watts,DB,,,,
00-0007097,Armon Hatcher,DB,,,,
00-0037670,Arnold Tarpley,DB,,,,
00-0038755,Arquon Bush,DB,,,,
00-0034299,Arrion Springs,DB,,,,
00-0038788,Art Green,DB,,,,
00-0033503,Arthur Maulet,DB,,,,
00-0033103,Artie Burns,DB,,,,
00-0007115,Artrell Hawkins,DB,,,,
00-0019551,Arturo Freeman,DB,,,,
00-0029294,Asa Jackson,DB,,,,
00-0021956,Asante Samuel,DB,,,,
00-0036617,Asante Samuel,DB,,,,
00-0027058,Asher Allen,DB,,,,
00-0000261,Ashley Ambrose,DB,,,,
00-0019118,Ashley Cooper,DB,,,,
00-0033482,Ashton Lampkin,DB,,,,
00-0024285,Ashton Youboty,DB,,,,
00-0036329,Ashtyn Davis,DB,,,,
00-0023404,Atari Bigby,DB,,,,
00-0035453,Austin Exford,DB,,,,
00-0036950,Avery Williams,DB,,,,
00-0038885,Avery Young,DB,,,,
00-0034377,Avonte Maddox,DB,,,,
00-0038141,Ayo Oyelola,DB,,,,
00-0038916,Azizi Hearn,DB,,,,
00-0034541,B.J. Clay,DB,,,,
00-0022104,B.J. Tucker,DB,,,,
00-0023722,B.J. Ward,DB,,,,
00-0033621,B.T. Sanders,DB,,,,
00-0030403,B.W. Webb,DB,,,,
00-0030289,Bacarri Rambo,DB,,,,
00-0027416,Barry Church,DB,,,,
00-0031052,Bashaud Breeland,DB,,,,
00-0009833,Bashir Levingston,DB,,,,
00-0039454,Beanie Bishop Jr.,DB,,,,
00-0039241,Beau Brade,DB,,,,
00-0036777,Ben Deluca,DB,,,,
00-0023604,Ben Emanuel,DB,,,,
00-0019711,Ben Kelly,DB,,,,
00-0039679,Ben Nikkel,DB,,,,
00-0031262,Bene' Benwikere,DB,,,,
00-0036625,Benjamin St-Juste,DB,,,,
00-0037062,Benjie Franklin,DB,,,,
00-0031188,Bennett Jackson,DB,,,,
00-0033014,Bennett Okotcha,DB,,,,
00-0022352,Benny Sapp,DB,,,,
00-0038470,Benny Sapp III,DB,,,,
00-0024269,Bernard Pollard,DB,,,,
00-0020367,Bhawoh Jue,DB,,,,
00-0000518,Billy Austin,DB,,,,
00-0008335,Billy Jenkins,DB,,,,
00-0023692,Billy Parker,DB,,,,
00-0001266,Blaine Bishop,DB,,,,
00-0032793,Blake Countess,DB,,,,
00-0035294,Blessuan Austin,DB,,,,
00-0030541,Blidi Wreh-Wilson,DB,,,,
00-0022031,Blue Adams,DB,,,,
00-0022944,Bob Sanders,DB,,,,
00-0021256,Bobby Gray,DB,,,,
00-0031587,Bobby McCain,DB,,,,
00-0019565,Bobby Myers,DB,,,,
00-0036011,Bobby Price,DB,,,,
00-0016082,Bobby Taylor,DB,,,,
00-0017012,Bracy Walker,DB,,,,
00-0021108,Brad Franklin,DB,,,,
00-0037584,Brad Hawkins,DB,,,,
00-0017179,Brad Ware,DB,,,,
00-0033708,Brad Watson,DB,,,,
00-0035430,Bradford Lemmons,DB,,,,
00-0027041,Bradley Fletcher,DB,,,,
00-0030161,Bradley McDougald,DB,,,,
00-0031372,Bradley Roby,DB,,,,
00-0033213,Bradley Sylve,DB,,,,
00-0036656,Brady Breeze,DB,,,,
00-0038526,Bralen Trahan,DB,,,,
00-0028601,Brandian Ross,DB,,,,
00-0037033,Brandin Dandridge,DB,,,,
00-0036504,Brandin Echols,DB,,,,
00-0026697,Brandon Anderson,DB,,,,
00-0029416,Brandon Boykin,DB,,,,
00-0023013,Brandon Browner,DB,,,,
00-0034841,Brandon Bryant,DB,,,,
00-0028077,Brandon Burton,DB,,,,
00-0026280,Brandon Carr,DB,,,,
00-0039333,Brandon Codrington,DB,,,,
00-0031328,Brandon Dixon,DB,,,,
00-0034545,Brandon Facyson,DB,,,,
00-0026175,Brandon Flowers,DB,,,,
00-0025990,Brandon Foster,DB,,,,
00-0027697,Brandon Ghee,DB,,,,
00-0027998,Brandon Harris,DB,,,,
00-0025531,Brandon Harrison,DB,,,,
00-0038644,Brandon Hill,DB,,,,
00-0028036,Brandon Hogan,DB,,,,
00-0026914,Brandon Hughes,DB,,,,
00-0019392,Brandon Jennings,DB,,,,
00-0036221,Brandon Jones,DB,,,,
00-0038657,Brandon Joseph,DB,,,,
00-0027468,Brandon King,DB,,,,
00-0025527,Brandon McDonald,DB,,,,
00-0030535,Brandon McGee,DB,,,,
00-0023354,Brandon McGowan,DB,,,,
00-0019329,Brandon McLemore,DB,,,,
00-0025411,Brandon Meriweather,DB,,,,
00-0037473,Brandon Sebastian,DB,,,,
00-0028750,Brandon Smith,DB,,,,
00-0036987,Brandon Stephens,DB,,,,
00-0033707,Brandon Stewart,DB,,,,
00-0029525,Brandon Taylor,DB,,,,
00-0026934,Brandon Underwood,DB,,,,
00-0035375,Brandon Watson,DB,,,,
00-0021878,Brandon Williams,DB,,,,
00-0032769,Brandon Williams,DB,,,,
00-0033791,Brandon Wilson,DB,,,,
00-0028151,Brandyn Thompson,DB,,,,
00-0025518,Brannon Condren,DB,,,,
00-0033552,Brendan Langley,DB,,,,
00-0037423,Brendan Radley-Hiles,DB,,,,
00-0037205,Brenden Schooler,DB,,,,
