season,team,position,depth_chart_position,jersey_number,status,player_name,first_name,last_name,birth_date,height,weight,college,player_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,ngs_position,week,game_type,status_description_abbr,football_name,draft_number,age
2000,IND,RB,RB,34,CUT,Abdul-Karim al-Jabbar,Abdul-Karim,al-Jabbar,1974-06-28,71.0,205.0,,00-0000003,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rtnc0qkvhmkcwwueac0o",ALJ059326,,3200414c-4a05-9326-21be-1f70bcd6190f,,,,,,,,,,26.0
2000,TB,RB,RB,27,ACT,Rabih Abdullah,Rabih,Abdullah,1975-04-27,73.0,227.0,,00-0000007,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t5s9srq092solu73m9v5",ABD675101,,32004142-4467-5101-8326-4b71f9f0a7b7,,,,,,,,,,25.0
2000,CLE,LB,OLB,53,ACT,Rahim Abdullah,Rahim,Abdullah,1976-03-22,77.0,233.0,,00-0000008,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cybn2rgg19bvq5gnmqlz",ABD683351,,32004142-4468-3351-1adf-75b6d3d47e03,,,,,,,,,,24.0
2000,TB,DB,CB,21,ACT,Donnie Abraham,Nathaniel,Abraham,1973-10-08,70.0,192.0,,00-0000017,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kfyq9ztqmw3snrsqogv5",ABR073258,,32004142-5207-3258-ebd3-814f82d39c58,,,,,,,,,,26.0
2000,DET,DB,CB,24,RES,Kevin Abrams,Kevin,Abrams,1974-02-28,68.0,170.0,,00-0000025,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nybaeprxjxlemhqfygxd",ABR397056,,32004142-5239-7056-a5a6-5c6acab130b7,,,,,,,,,,26.0
2000,NO,OL,G,69,ACT,Tom Ackerman,Thomas,Ackerman,1972-09-06,75.0,296.0,,00-0000032,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s7tpjn4fly0ulwp8mx5l",ACK425040,,32004143-4b42-5040-5e4c-ffc2696ade34,,,,,,,,,,27.0
2000,DAL,OL,OT,76,ACT,Flozell Adams,Flozell,Adams,1975-05-18,79.0,335.0,,00-0000045,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tvzbhead7hjhqpcbilgc",ADA280969,,32004144-4128-0969-9390-de3ae33872eb,,,,,,,,,,25.0
2000,BAL,DL,DT,95,ACT,Sam Adams,Samuel,Adams,1973-06-13,75.0,330.0,,00-0000065,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pqwbc18lkp6evgok8768",ADA571656,,32004144-4157-1656-c9b5-9681a9711d63,,,,,,,,,,27.0
2000,STL,DL,DT,99,ACT,Ray Agnew,Raymond,Agnew,1967-12-09,75.0,285.0,,00-0000097,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bbm1kkik4ekmarc4mbzv",AGN415291,,32004147-4e41-5291-430e-75c93015e018,,,,,,,,,,32.0
2000,CHI,SPEC,P,10,ACT,Louie Aguiar,Louis,Aguiar,1966-06-30,74.0,220.0,,00-0000098,,,,,,,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qqkgkzrfwttuy0ab8e6f",AGU401791,,32004147-5540-1791-3e41-c35f15fac6e5,,,,,,,,,,34.0
